Et,k1st defect_crop_-40C,k1st defect_crop_-5C,k1st defect_crop_30C,ksingle defect_crop_65C,ksingle defect_crop_100C,TauMinor1st defect_crop_-40C,TauMinor1st defect_crop_-5C,TauMinor1st defect_crop_30C,TauMinorsingle defect_crop_65C,TauMinorsingle defect_crop_100C,StdDev
-5.669999999999999485e-01,nan,nan,2.812453953553287429e+05,1.784134708378907453e+04,8.017384586045875949e+03,nan,nan,1.879695870238219288e-04,1.931107450790436279e-04,2.296093178812201835e-04,nan
-5.639999999999999458e-01,nan,nan,2.507167284943512350e+05,1.609502510568023536e+04,7.302851921715025128e+03,nan,nan,1.879695198432452348e-04,1.931097693992495632e-04,2.296069709008232091e-04,nan
-5.609999999999999432e-01,nan,nan,2.235016841785937431e+05,1.451961886775516541e+04,6.651991777585404634e+03,nan,nan,1.879694444817989847e-04,1.931086878573450797e-04,2.296043943023006145e-04,nan
-5.579999999999999405e-01,nan,nan,1.992405973620110599e+05,1.309840053253094629e+04,6.059130249535930488e+03,nan,nan,1.879693599431042010e-04,1.931074889659165365e-04,2.296015656189993230e-04,nan
-5.549999999999999378e-01,nan,nan,1.776128415262099006e+05,1.181627944671014484e+04,5.519099039127125252e+03,nan,nan,1.879692651093883967e-04,1.931061599907234595e-04,2.295984601856723576e-04,nan
-5.519999999999999352e-01,nan,nan,1.583325913861657318e+05,1.065964190695659454e+04,5.027190398714803450e+03,nan,nan,1.879691587266845896e-04,1.931046868153025607e-04,2.295950509232460614e-04,nan
-5.489999999999999325e-01,nan,nan,1.411450455175669631e+05,9.616206608089534711e+03,4.579116091437054820e+03,nan,nan,1.879690393882235200e-04,1.931030537908539030e-04,2.295913081025017545e-04,nan
-5.459999999999999298e-01,nan,nan,1.258230589852651319e+05,8.674894238828461312e+03,4.170970008306328054e+03,nan,nan,1.879689055157973004e-04,1.931012435698045368e-04,2.295871990846013258e-04,nan
-5.429999999999999272e-01,nan,nan,1.121641414707551885e+05,7.825709840441676533e+03,3.799194116519506224e+03,nan,nan,1.879687553388452361e-04,1.930992369212723844e-04,2.295826880361858443e-04,nan
-5.400000000000000355e-01,nan,nan,9.998778122694074409e+04,7.059636679170571369e+03,3.460547442138446058e+03,nan,nan,1.879685868709834236e-04,1.930970125264546301e-04,2.295777356165488363e-04,nan
-5.369999999999999218e-01,nan,nan,8.913305949444166617e+04,6.368540505553934963e+03,3.152077816746134431e+03,nan,nan,1.879683978836632998e-04,1.930945467517515579e-04,2.295722986341424158e-04,nan
-5.340000000000000302e-01,nan,nan,7.945652385237076669e+04,5.745083184069188974e+03,2.871096141778967194e+03,nan,nan,1.879681858766068310e-04,1.930918133971950017e-04,2.295663296694032168e-04,nan
-5.309999999999999165e-01,nan,nan,7.083029239846451674e+04,5.182644775998041951e+03,2.615152946182444794e+03,nan,nan,1.879679480446208736e-04,1.930887834174830177e-04,2.295597766605859708e-04,nan
-5.280000000000000249e-01,nan,nan,6.314036370406379865e+04,4.675253248186281780e+03,2.382017033031502251e+03,nan,nan,1.879676812403455861e-04,1.930854246126256985e-04,2.295525824489691013e-04,nan
-5.250000000000000222e-01,nan,nan,5.628511020884295431e+04,4.217521061335706690e+03,2.169656028965542191e+03,nan,nan,1.879673819324341499e-04,1.930817012848773948e-04,2.295446842794318740e-04,nan
-5.220000000000000195e-01,nan,nan,5.017393514450827934e+04,3.804587964516739703e+03,1.976218666877517308e+03,nan,nan,1.879670461585996862e-04,1.930775738582629056e-04,2.295360132520121374e-04,nan
-5.190000000000000169e-01,nan,nan,4.472607523779848998e+04,3.432069388487143442e+03,1.800018647405251386e+03,nan,nan,1.879666694728932691e-04,1.930729984565963161e-04,2.295264937196138551e-04,nan
-5.160000000000000142e-01,nan,nan,3.986953336971342651e+04,3.096009889851311982e+03,1.639519938536898280e+03,nan,nan,1.879662468864975425e-04,1.930679264354370457e-04,2.295160426265563131e-04,nan
-5.130000000000000115e-01,nan,nan,3.554012708534630656e+04,2.792841151725365762e+03,1.493323385179172647e+03,nan,nan,1.879657728012299172e-04,1.930623038629209658e-04,2.295045687821298784e-04,nan
-5.100000000000000089e-01,nan,nan,3.168064037973520681e+04,2.519344094954236425e+03,1.360154511956595570e+03,nan,nan,1.879652409348453511e-04,1.930560709438407165e-04,2.294919720627404023e-04,nan
-5.070000000000000062e-01,nan,nan,2.824006755002056525e+04,2.272614697573592366e+03,1.238852412912041245e+03,nan,nan,1.879646442371144389e-04,1.930491613807207860e-04,2.294781425355861451e-04,nan
-5.040000000000000036e-01,nan,nan,2.517293912090592494e+04,2.050033159583724228e+03,1.128359631254110127e+03,nan,nan,1.879639747955196157e-04,1.930415016649307579e-04,2.294629594961053096e-04,nan
-5.010000000000000009e-01,nan,nan,2.243872093507439422e+04,1.849236085623788540e+03,1.027712940927484397e+03,nan,nan,1.879632237292626037e-04,1.930330102901006467e-04,2.294462904106559301e-04,nan
-4.979999999999999982e-01,nan,nan,2.000127846714029147e+04,1.668091390178703250e+03,9.360349496441796191e+02,nan,nan,1.879623810701069344e-04,1.930235968792258256e-04,2.294279897550327715e-04,nan
-4.949999999999999956e-01,nan,nan,1.782839928168438928e+04,1.504675658859625173e+03,8.525264501747419672e+02,nan,nan,1.879614356283843565e-04,1.930131612158744888e-04,2.294078977384825051e-04,nan
-4.919999999999999929e-01,nan,nan,1.589136732433557518e+04,1.357253725377493993e+03,7.764594532213856155e+02,nan,nan,1.879603748422741731e-04,1.930015921688202905e-04,2.293858389018349887e-04,nan
-4.889999999999999902e-01,nan,nan,1.416458341987118729e+04,1.224260247355616002e+03,7.071708411368174438e+02,nan,nan,1.879591846082115511e-04,1.929887664981980589e-04,2.293616205772177621e-04,nan
-4.859999999999999876e-01,nan,nan,1.262522696196427205e+04,1.104283085351443560e+03,6.440565871647640961e+02,nan,nan,1.879578490899916658e-04,1.929745475299156929e-04,2.293350311955518644e-04,nan
-4.829999999999999849e-01,nan,nan,1.125295432357943537e+04,9.960483086039074578e+02,5.865664898081150795e+02,nan,nan,1.879563505038043939e-04,1.929587836835157237e-04,2.293058384266207612e-04,nan
-4.799999999999999822e-01,nan,nan,1.002963000231063052e+04,8.984066682958890624e+02,5.341993764213268605e+02,nan,nan,1.879546688760549359e-04,1.929413068369604297e-04,2.292737871349522687e-04,nan
-4.769999999999999796e-01,nan,nan,8.939086947565252558e+03,8.103213947032857050e+02,4.864987342141609474e+02,nan,nan,1.879527817703836097e-04,1.929219305098727724e-04,2.292385971330352008e-04,nan
-4.739999999999999769e-01,nan,nan,7.966912902157640929e+03,7.308571886595645992e+02,4.430487305798158673e+02,nan,nan,1.879506639797916821e-04,1.929004478445852007e-04,2.291999607114895813e-04,nan
-4.709999999999999742e-01,nan,nan,7.100259934673572388e+03,6.591702904458610419e+02,4.034705880544938736e+02,nan,nan,1.879482871791910824e-04,1.928766293618875576e-04,2.291575399237011953e-04,nan
