Et,k2nd defect_Sinton_300,k2nd defect_Sinton_350,k2nd defect_Sinton_400,TauMinor2nd defect_Sinton_300,TauMinor2nd defect_Sinton_350,TauMinor2nd defect_Sinton_400,StdDev
-5.400000000000000355e-01,2.956212528797654500e+02,1.578142736782868951e+02,9.543407915077213488e+01,3.067048591046439100e-09,5.894025678264756178e-09,1.013553504090145043e-08,8.363741634216211196e+01
-5.340000000000000302e-01,2.342729602598855365e+02,1.292084045626706086e+02,8.005732951076474535e+01,3.867387706272338854e-09,7.190563735785351562e-09,1.206200492741358340e-08,6.432284008548029419e+01
-5.280000000000000249e-01,1.856314688496503038e+02,1.057629357946460971e+02,6.713717090798346021e+01,4.876284741678479392e-09,8.772106388931734355e-09,1.435449061243980370e-08,4.934215116029267989e+01
-5.220000000000000195e-01,1.470648749711233165e+02,8.654694890990259637e+01,5.628113811632641017e+01,6.147916981069389221e-09,1.070120498682073992e-08,1.708247010985466884e-08,3.774199776121046312e+01
-5.160000000000000142e-01,1.164864095444188337e+02,7.079745993153531458e+01,4.715946619287453245e+01,7.750435145975214251e-09,1.305409137118313510e-08,2.032858394279127496e-08,2.877587712571032696e+01
-5.100000000000000089e-01,9.224152676329295275e+01,5.788912456643162585e+01,3.949507347447425332e+01,9.769508420875804872e-09,1.592364651347557851e-08,2.419111795287241618e-08,2.185969651821968895e+01
-5.040000000000000036e-01,7.301837959524706889e+01,4.730940847996934195e+01,3.305514489177225101e+01,1.231273407518676083e-08,1.942300191677809833e-08,2.878694993569578211e-08,1.653681198018865572e+01
-4.979999999999999982e-01,5.777683809635355061e+01,3.863823676771769300e+01,2.764405993382931115e+01,1.551510194609374762e-08,2.368990306293950235e-08,3.425504487603373953e-08,1.245053459299893284e+01
-4.919999999999999929e-01,4.569220984939038033e+01,3.153131459240833223e+01,2.309745044180416329e+01,1.954573343720228874e-08,2.889198783273415833e-08,4.076059826355375336e-08,9.322518565738008078e+00
-4.859999999999999876e-01,3.611061733934774765e+01,2.570645672060088671e+01,1.927720773010355160e+01,2.461614046236226336e-08,3.523315939047583888e-08,4.849994389391703074e-08,6.935780656494975993e+00
-4.799999999999999822e-01,2.851361781629058711e+01,2.093238316388855935e+01,1.606728737034959309e+01,3.099026499105668534e-08,4.296126207721692719e-08,5.770636188635892672e-08,5.121365025336393373e+00
-4.739999999999999769e-01,2.249015128994426860e+01,1.701953604787336971e+01,1.337018420347327208e+01,3.899655290909564474e-08,5.237729939346095784e-08,6.865694450345793373e-08,3.747876430865278330e+00
-4.679999999999999716e-01,1.771429881241074611e+01,1.381255308637665102e+01,1.110397050422351484e+01,4.904226816327140019e-08,6.384646325851221892e-08,8.168070176039039968e-08,2.713269443494122246e+00
-4.619999999999999662e-01,1.392764758966398730e+01,1.118409881500093306e+01,9.199807328805936990e+00,6.163013593564718168e-08,7.781127010276704767e-08,9.716811559959603551e-08,1.938411322974776363e+00
-4.559999999999999609e-01,1.092530872970512057e+01,9.029808648928790760e+00,7.599853449867857158e+00,7.737717461666179786e-08,9.480711660016378571e-08,1.155823801409914640e-07,1.362038718887650157e+00
-4.499999999999999556e-01,8.544831072858670495e+00,7.264145015295856211e+00,6.255508360236302856e+00,9.703517641696190592e-08,1.154805675806200463e-07,1.374725953281280861e-07,9.368091921513950204e-01
-4.439999999999999503e-01,6.657411251492226789e+00,5.817001025023661676e+00,5.125935974551828700e+00,1.215116482736991391e-07,1.406106581953670022e-07,1.634892106737303336e-07,6.262123154877045073e-01
-4.379999999999999449e-01,5.160924371289269175e+00,4.630916830565829478e+00,4.176824184474585699e+00,1.518890377998180003e-07,1.711334131641679724e-07,1.944020423428123022e-07,4.021554843239601995e-01
-4.319999999999999396e-01,3.974398216764571501e+00,3.658798143137827807e+00,3.379342587473065596e+00,1.894386580055224794e-07,2.081696315045800434e-07,2.311212067734579730e-07,2.430797802315155520e-01
-4.259999999999999343e-01,3.033631990213900398e+00,2.862046321587118580e+00,2.709266728964186743e+00,2.356238519101272221e-07,2.530557192217583601e-07,2.747213218825193282e-07,1.324957308770209896e-01
-4.199999999999999845e-01,2.287722521936788045e+00,2.209025786796269930e+00,2.146242255615267602e+00,2.920846961162645301e-07,3.073769270830072833e-07,3.264693146082770018e-07,5.788073337835033388e-02
