150C_X/Y,150C_Lifetime [s]
0.004003787609138053,2.988318362266922e-05
0.004431542098983283,3.106606561416769e-05
0.0045128474632503985,3.014788577774873e-05
0.004520171520828123,2.767542374322761e-05
0.005358908896562762,3.049506565393121e-05
0.005474741590418168,2.918138765469485e-05
0.006245981309770997,3.073395552855965e-05
0.006968801626114034,3.175737285070552e-05
0.007318194058689668,3.123846289699054e-05
0.007567986692688089,2.964455613633211e-05
0.008611195216173814,3.138152810622159e-05
0.008848872150042706,3.009365363309532e-05
0.009855813212888365,3.109485731983915e-05
0.01062916299053032,3.143560830133884e-05
0.011651504309646466,3.201501982782228e-05
0.01273298298982866,3.267343379383408e-05
0.013653866539564156,3.281352960041129e-05
0.014329483995312685,3.205726203633291e-05
0.016124380631013163,3.370047997219279e-05
0.01709223048051564,3.351239368450013e-05
0.0189824583674775,3.48249627401096e-05
0.020327037709071686,3.521862705425848e-05
0.02190843979558081,3.567973155292085e-05
0.023954741816236986,3.673140687369992e-05
0.025733289691904034,3.706858831523012e-05
0.027690826285852364,3.734489142635724e-05
0.031050291050580183,3.944053369598528e-05
0.03315066384104748,3.972958527918195e-05
0.03612207393889246,4.082345543857513e-05
0.038784435083771364,4.13228648332336e-05
0.04242729218375104,4.27017795814627e-05
0.04559891383847542,4.345772882354824e-05
0.049672083502825766,4.477340361236112e-05
0.05380000492607367,4.592360009316823e-05
0.05820692309148389,4.698976482196772e-05
0.06317699550949198,4.827560977186798e-05
0.06778058326309021,4.91015022913813e-05
0.07359884414684137,5.056274622757081e-05
0.07946226305643847,5.194583464146639e-05
0.0855628223969064,5.312705001835292e-05
0.09221315103344652,5.437896177914423e-05
0.09898973118103598,5.534330306641336e-05
0.1068366355715358,5.689092809489185e-05
0.11444352472919099,5.812647415548876e-05
0.12271584005001254,5.936741712335347e-05
0.1312854057317338,6.037675214799342e-05
0.1405892955156726,6.155100498679786e-05
0.14999739075051594,6.263031500104082e-05
0.1596794689980116,6.352515127562862e-05
0.17013948914436328,6.464861322682069e-05
0.18031457516274452,6.553294460606742e-05
0.19142169696045946,6.644598535836621e-05
0.2028440539098461,6.729974332002116e-05
0.21479053900371908,6.827610500010709e-05
0.2262222686503479,6.873391390447686e-05
0.23896968183566605,6.974295664700945e-05
0.25142816770635085,7.03949639783988e-05
0.2641806059420913,7.089061094248171e-05
0.2769599884078521,7.120320171196304e-05
0.2906506890294964,7.177764692452498e-05
0.30436021949848696,7.214840393847975e-05
0.3180873509098044,7.236914220476813e-05
0.33204574424270766,7.261042476248754e-05
0.34621212941059254,7.268910855985245e-05
0.36063146848492533,7.277062617424028e-05
0.37542734820035306,7.288150375362544e-05
0.38997721449182776,7.29400494055867e-05
0.4048114860365239,7.296777777108551e-05
0.41971148667800945,7.28648463438859e-05
0.43470636572680726,7.269102376801238e-05
0.4498062394363263,7.248325901358153e-05
0.4649604097059611,7.222786009113193e-05
0.48003844206367524,7.193555579402041e-05
0.49520040431339835,7.171845191281429e-05
0.5102026154907862,7.132512200356313e-05
0.5251267624456433,7.088434404843768e-05
0.5399623023507678,7.040402896147672e-05
0.5549156352546032,7.002730481919689e-05
0.569616802785183,6.954806918406186e-05
0.5841582947460332,6.897739860763454e-05
0.5986245173430308,6.845711435163208e-05
0.6128510848489679,6.786808168470346e-05
0.6269205541019356,6.723022660081181e-05
0.6408757250547201,6.665243807295278e-05
0.6546156855013407,6.600219006070576e-05
0.6680763223213678,6.53663265603995e-05
0.6812514859255976,6.467048512704939e-05
0.6942361284342369,6.400789155177972e-05
0.706956267854757,6.33126849334059e-05
0.719441382752779,6.265138521349754e-05
0.7314644945008667,6.194829589268791e-05
0.7432617170840171,6.125992212896766e-05
0.7547390848237333,6.059163519646285e-05
0.7656999554373433,6.028826868448811e-05
0.7658117038146696,5.99133565715095e-05
0.7705851360138891,6.002595796532946e-05
0.7765229873608949,5.925621512736625e-05
0.7799155750486622,5.941548871903954e-05
0.786817472352573,5.863834699169338e-05
0.7890379359801489,5.874166174945258e-05
0.7966453959460537,5.802607257767102e-05
0.7979073946005534,5.804114742362357e-05
0.8065346383774666,5.732413041516155e-05
0.8149347227773415,5.660169156331957e-05
0.8231266592699414,5.593221648178933e-05
0.8310463475839472,5.535518503698105e-05
0.8387178131590338,5.467967388877176e-05
0.8461239909158922,5.402611176034495e-05
0.853273029708982,5.341785950785668e-05
0.8601682933040167,5.286760721323404e-05
0.8667961079626795,5.227686490802566e-05
0.8731645789643151,5.171039196272295e-05
0.8792466680409283,5.120093568856245e-05
0.8850394870828872,5.067169206953411e-05
0.8905795558684121,5.022381231059431e-05
0.8958354345845932,4.976176807816914e-05
0.9007962918980348,4.937542885047767e-05
0.9052643112283877,4.898797970735889e-05
